,max 2005-2014,min 2005-2014,max 2015,min 2015
05-14,314.6296296296296,234.8695652173913,331.0,249.0
05-15,312.89285714285717,237.26666666666668,307.5,245.66666666666666
05-16,320.44827586206895,236.0625,314.75,244.75
05-17,317.8888888888889,236.5151515151515,311.5,251.66666666666666
05-18,316.1111111111111,240.25,318.5,250.66666666666666
05-19,318.55172413793105,240.46666666666667,328.5,255.75
05-20,323.7857142857143,239.7058823529412,327.0,254.5
05-21,317.0,239.47826086956522,324.0,255.75
05-22,319.1923076923077,238.6818181818182,314.5,261.5
05-23,313.72,240.48387096774192,287.75,235.0
05-24,320.92,243.6451612903226,324.25,241.25
05-25,318.4375,242.6451612903226,321.0,250.25
05-26,319.9,239.5,324.75,247.66666666666666
05-27,312.3,238.25925925925927,313.6666666666667,251.66666666666666
05-28,317.56666666666666,241.6551724137931,320.0,250.5
05-29,319.9642857142857,244.5,327.5,250.66666666666666
05-30,318.6764705882353,240.06896551724137,330.5,248.0
05-31,316.6896551724138,240.48387096774192,333.5,245.33333333333334
06-01,317.0,238.77777777777777,332.0,246.5
06-02,319.51612903225805,237.94285714285715,327.0,243.0
06-03,313.76,243.8125,323.5,254.66666666666666
06-04,315.55172413793105,236.95652173913044,328.0,254.25
06-05,309.1666666666667,237.54545454545453,328.25,256.0
06-06,311.2083333333333,239.46875,321.5,251.0
06-07,313.0344827586207,238.68965517241378,312.0,246.66666666666666
06-08,307.48148148148147,239.14814814814815,311.0,246.0
06-09,307.2413793103448,237.72727272727272,307.5,247.75
06-10,319.7741935483871,238.1875,312.0,251.0
06-11,315.81481481481484,239.03333333333333,323.0,243.66666666666666
06-12,317.92,235.14285714285714,305.3333333333333,240.0
06-13,317.3125,239.26666666666668,304.6666666666667,243.5
06-14,316.1818181818182,239.72413793103448,287.6666666666667,235.0
06-15,314.83870967741933,237.03571428571428,309.25,237.66666666666666
06-16,310.20588235294116,236.16,307.5,240.5
06-17,318.56,236.71428571428572,310.0,244.25
06-18,316.0689655172414,235.8709677419355,323.0,252.0
06-19,317.65384615384613,239.4,316.25,256.0
06-20,314.60869565217394,242.44117647058823,321.0,260.0
06-21,319.1666666666667,242.75,328.75,259.3333333333333
06-22,313.0,234.46153846153845,328.0,261.3333333333333
06-23,315.6923076923077,238.52777777777777,329.3333333333333,256.0
06-24,312.6969696969697,239.66666666666666,326.75,265.3333333333333
06-25,307.55172413793105,235.27272727272728,321.5,264.5
06-26,315.61538461538464,239.26666666666668,324.5,269.0
06-27,309.8787878787879,237.41935483870967,330.5,250.0
06-28,315.9032258064516,240.3125,326.75,246.0
06-29,315.76666666666665,238.0,328.6666666666667,249.33333333333334
06-30,311.2413793103448,235.0,331.6666666666667,261.25
07-01,314.8,239.35294117647058,322.0,255.33333333333334
07-02,314.375,240.6,325.0,248.66666666666666
07-03,309.0,238.07407407407408,323.0,251.0
07-04,313.16129032258067,238.36363636363637,297.0,248.0
07-05,312.80645161290323,240.78571428571428,321.0,234.75
07-06,315.56666666666666,243.34375,320.3333333333333,256.0
07-07,315.7142857142857,238.03846153846155,319.5,252.0
07-08,304.0,236.33333333333334,324.3333333333333,240.0
07-09,304.62068965517244,235.46875,323.5,241.5
07-10,311.36,235.25,306.6666666666667,243.33333333333334
07-11,309.0416666666667,233.78571428571428,323.3333333333333,249.25
07-12,306.1333333333333,230.74193548387098,322.5,260.0
07-13,316.0,233.86206896551724,320.6666666666667,250.0
07-14,309.28125,241.0,307.25,245.25
07-15,308.8965517241379,235.52,323.5,255.25
07-16,309.0,235.40625,324.0,260.25
07-17,308.93333333333334,240.2,323.5,266.0
07-18,304.4516129032258,234.34615384615384,326.0,266.0
07-19,308.1764705882353,235.45833333333334,321.75,265.5
07-20,315.80645161290323,236.0,323.25,257.5
07-21,308.875,240.6086956521739,323.5,255.33333333333334
07-22,302.7647058823529,236.42307692307693,325.25,263.0
07-23,305.9032258064516,234.68,325.6666666666667,255.0
07-24,304.36,232.96,323.75,242.0
07-25,309.8,233.4,327.75,247.25
